extended_rank	name_short	name	inn	country	profile	in_training	actual_score	actual_rank	predicted_score	score_normalized	F1	F2	F3	F4	F5	F1_normalized	F2_normalized	F3_normalized	F4_normalized	F5_normalized	wos_pubs_per100_2021	rnd_revenue_share	grants_per_100_fac	master_share	foreign_faculty_share	ege_budget	ege_paid	ege_min	vsosh_per100	olymp_per100	foreign_students_noncis_share	foreign_students_share_total	revenue_per_faculty	modern_equipment_share	postgrad_per_100	doct_share
365	Санкт-Петербургский Государственный Университет Гражданской Авиации Имени Главного Маршала Авиации А.А. Новикова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ГРАЖДАНСКОЙ АВИАЦИИ ИМЕНИ ГЛАВНОГО МАРШАЛА АВИАЦИИ А.А. НОВИКОВА»	7810251630.0	RU		False			12.736528214510658	45.57	-0.2073659433086435	-1.74782011816148	-1.1819663043996154	0.7857685433310475	0.4979068810247421	4.54	6.52	2.15	7.91	6.63	248.81	2.65	0.52	9.52	0.36	64.58	49.0	41.8	0.0	0.0	0.43	3.09	5412.57	0.9	0.13	9.73
366	Ивановский Государственный Политехнический Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ИВАНОВСКИЙ ГОСУДАРСТВЕННЫЙ ПОЛИТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ»	3702698511.0	RU		False			12.667038066078211	45.5	-0.2524008852928314	-1.4533836871466468	-0.4061228974703179	-2.359140501238348	-0.0815294190982428	4.41	6.83	3.66	3.89	5.34	273.47	3.15	2.11	17.57	0.0	62.82	55.94	51.32	0.0	0.0	0.47	7.64	628.37	42.42	0.1	15.52
367	Нижневартовский Государственный Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «НИЖНЕВАРТОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»	8603039002.0	RU		False			12.64756544639448	45.49	-0.2272581567537637	-1.506032256446818	-1.2338169388970313	-1.8213219786923407	-0.218933849670556	4.48	6.78	2.04	4.57	5.04	345.53	3.08	2.18	20.28	0.56	63.06	54.59	50.34	0.0	0.0	0.07	4.88	973.45	39.1	0.04	7.32
368	Крымский Федеральный Университет Имени В.И.Вернадского	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «КРЫМСКИЙ ФЕДЕРАЛЬНЫЙ УНИВЕРСИТЕТ ИМЕНИ В.И.ВЕРНАДСКОГО»	9102028795.0	RU		False			12.591642805487597	45.44	-0.5898201659893295	-1.3096255577948224	0.2966323602683411	-1.3299814062460085	0.8342909820007373	3.45	6.99	5.03	5.2	7.38	254.76	0.0	3.1	15.43	0.0	61.4	51.0	46.0	0.0	0.0	0.0	0.5	843.9	28.94	0.0	8.79
369	Религиозная Организация - Духовная Образовательная Организация Высшего Образования «Смоленская Православная Духовная Семинария Смоленской Епархии Русской Православной Церкви	РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «СМОЛЕНСКАЯ ПРАВОСЛАВНАЯ ДУХОВНАЯ СЕМИНАРИЯ СМОЛЕНСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ»	6731026728.0	RU		False			12.574717082713978	45.42	-0.9356350757564074	-1.2378979199830766	-1.1923189686211646	1.4455293605981223	-0.94230853982689	2.46	7.06	2.12	8.75	3.42	0.0	0.0	0.0	0.0	0.0	68.0	52.0	28.0	0.0	0.0	0.0	11.76	2623.5	0.0	0.0	21.81
370	Мордовский Государственный Педагогический Университет Имени М.Е. Евсевьева	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «МОРДОВСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ М.Е. ЕВСЕВЬЕВА»	1328159925.0	RU		False			12.548415743701948	45.4	-0.2317650655613747	-1.4866260942196123	-0.6153694475263354	-2.3121476502991025	0.1222555389898552	4.47	6.8	3.25	3.95	5.8	659.61	5.31	23.96	11.52	0.0	64.64	56.3	47.94	0.0	0.0	0.0	3.29	731.82	72.44	0.06	8.33
371	Национальный Государственный Университет Физической Культуры, Спорта И Здоровья Имени П.Ф.Лесгафта, Санкт-Петербург	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НАЦИОНАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ФИЗИЧЕСКОЙ КУЛЬТУРЫ, СПОРТА И ЗДОРОВЬЯ ИМЕНИ П.Ф.ЛЕСГАФТА, САНКТ-ПЕТЕРБУРГ"""	7812047911.0	RU		False			12.52906053405983	45.38	-0.4502066649479174	-1.3857444396563026	-1.202139080402242	-1.339694642439472	-0.457080534450736	3.85	6.91	2.11	5.19	4.5	98.32	3.4	0.0	14.71	0.24	63.31	55.5	45.94	0.0	0.05	0.23	1.28	1056.33	41.67	0.02	13.03
372	Балтийский Государственный Технический Университет «Военмех» Им. Д.Ф. Устинова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «БАЛТИЙСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ «ВОЕНМЕХ» ИМ. Д.Ф. УСТИНОВА»	7809003047.0	RU		False			12.528835075887	45.38	-0.2731060814756597	-1.5875935469597535	0.4882864139076676	-1.0542839107487043	0.1084957060183504	4.35	6.69	5.4	5.55	5.77	156.69	11.71	0.0	10.25	0.22	68.58	61.25	47.63	0.01	0.0	3.01	4.32	1280.91	54.72	0.03	9.14
373	"Автономная Некоммерческая Организация Высшего Образования ""Сибирский Институт Бизнеса, Управления И Психологии"	"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ИНСТИТУТ БИЗНЕСА, УПРАВЛЕНИЯ И ПСИХОЛОГИИ"""	2462046116.0	RU		False			12.515329455540144	45.37	-0.3268360486674296	-1.5667678830289724	-1.794147403198217	-0.2251199911408931	-0.9389553675082666	4.2	6.71	1.0	6.62	3.43	392.79	6.72	0.0	0.0	0.0	63.4	53.91	44.1	0.0	0.0	0.0	0.64	2243.89	57.44	0.0	6.49
374	Ивановский Государственный Энергетический Университет Имени В.И. Ленина	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ИВАНОВСКИЙ ГОСУДАРСТВЕННЫЙ ЭНЕРГЕТИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ В.И. ЛЕНИНА»	3731000308.0	RU		False			12.505635486767522	45.36	-0.5162331647209634	-1.3905272454998934	-1.0584012811365966	-0.8448783796202326	0.323384997598751	3.66	6.9	2.39	5.82	6.25	427.67	6.1	0.47	15.41	0.0	65.61	61.21	49.14	0.0	0.0	0.81	5.64	1491.81	46.23	0.08	9.95
375	Ростовская Государственная Консерватория Им. С.В.Рахманинова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОСТОВСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМ. С.В.РАХМАНИНОВА»	6164028535.0	RU		False			12.465572705225114	45.33	-0.3947828077844318	-1.5077509245791263	0.8115111507433906	-1.090073500784657	0.638327576134541	4.0	6.78	6.03	5.51	6.95	161.89	4.99	0.0	24.65	0.0	82.37	0.0	74.4	0.0	0.0	13.85	14.36	933.7	24.95	1.52	8.18
376	Пермский Государственный Институт Культуры	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ПЕРМСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ КУЛЬТУРЫ"""	5902290522.0	RU		False			12.44938474690342	45.31	-0.7117470123500992	-1.1378989106608566	-0.6064176353791259	-2.109637187168825	0.0275017067278006	3.1	7.17	3.27	4.21	5.59	149.92	4.39	0.0	8.71	0.0	65.09	54.04	53.91	0.0	0.0	2.09	1.8	414.13	65.73	0.23	6.62
377	"Северо-Осетинская Государственная Медицинская Академия"" Министерства Здравоохранения Российской Федерации"	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СЕВЕРО-ОСЕТИНСКАЯ ГОСУДАРСТВЕННАЯ МЕДИЦИНСКАЯ АКАДЕМИЯ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"	1501003195.0	RU		False			12.438915882535843	45.3	-0.7791687052282614	-1.2903675870014757	0.2902767504491498	-0.0824330768883335	0.9707636255548712	2.91	7.01	5.01	6.8	7.69	114.62	2.76	0.0	13.57	0.0	68.49	60.54	43.86	0.0	0.0	9.68	11.24	2466.76	73.8	0.46	15.82
378	Вологодский Государственный Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ВОЛОГОДСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»	3525027110.0	RU		False			12.326000683509566	45.2	-0.5463153485377502	-1.3168076179392003	-1.3795883051834426	-1.5872600808116315	0.210046761869002	3.57	6.98	1.76	4.87	5.99	562.28	2.04	0.88	11.99	0.0	65.52	63.02	49.88	0.0	0.0	0.05	2.23	1079.99	25.96	0.04	8.11
379	Северо-Кавказский Горно-Металлургический Институт (Государственный Технологический Университет)	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «СЕВЕРО-КАВКАЗСКИЙ ГОРНО-МЕТАЛЛУРГИЧЕСКИЙ ИНСТИТУТ (ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ)»	1501002522.0	RU		False			12.314155934704916	45.19	-0.2868132802018688	-1.5187668049624614	0.2977651568308955	-2.000939259970272	0.3137452160855628	4.31	6.77	5.03	4.34	6.22	293.67	1.69	0.53	17.74	0.0	63.66	56.64	49.12	0.0	0.0	5.03	11.12	822.08	27.03	0.1	14.49
380	Северо-Кавказский Государственный Институт Искусств	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СЕВЕРО-КАВКАЗСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ ИСКУССТВ"""	711001114.0	RU		False			12.31158454620182	45.19	-0.8819799683629441	-0.9027277088175772	-0.1597366124652513	-3.551460068419133	0.0415072477843047	2.62	7.42	4.14	2.36	5.62	139.7	5.3	0.0	9.22	0.0	62.91	63.0	55.0	0.0	0.0	1.92	3.77	107.51	40.82	2.38	7.22
381	Поволжский Государственный Университет Сервиса	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ПОВОЛЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ СЕРВИСА»	6323068825.0	RU		False			12.288569608681934	45.17	-0.6546663335811043	-1.289743789119708	-1.5545280623932407	-0.9723605815222716	0.4996293468845802	3.26	7.01	1.42	5.66	6.64	211.88	3.37	0.0	31.01	0.0	68.18	60.04	49.85	0.0	0.0	0.0	0.64	2593.06	14.96	0.88	14.16
382	Пензенский Государственный Технологический Университет	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ПЕНЗЕНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ"""	5835055697.0	RU		False			12.239546654677053	45.13	-0.3871248937205506	-1.42643876287808	-0.4550783894750566	-2.0688120677681905	0.0565270542468376	4.03	6.86	3.56	4.26	5.65	377.3	4.39	1.89	20.0	0.0	64.8	59.63	49.56	0.0	0.0	1.6	7.38	819.58	15.58	0.08	10.48
383	Казанский Государственный Аграрный Университет	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАЗАНСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ"""	1655018875.0	RU		False			12.186949105737742	45.08	0.041547835798169	-1.8349382366658016	-0.837249992352851	-1.3328524144085443	0.7411550837018145	5.25	6.43	2.82	5.2	7.18	1090.86	13.35	10.7	15.83	0.0	55.8	68.84	43.52	0.0	0.0	1.25	6.27	1637.59	67.29	0.09	16.4
384	Южно-Российский Государственный Политехнический Университет (Нпи) Имени М.И. Платова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ЮЖНО-РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ ПОЛИТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ (НПИ) ИМЕНИ М.И. ПЛАТОВА»	6150010834.0	RU		False			12.071715975033367	44.98	-0.0741065922253607	-1.7801458568614752	-0.3495311887656704	-1.189269412937994	0.7626527494802741	4.92	6.49	3.77	5.38	7.22	273.68	2.25	14.61	7.01	0.0	64.42	60.5	52.25	0.0	0.0	0.13	2.29	1354.95	36.51	0.0	14.71
385	Государственный Университет Морского И Речного Флота Имени Адмирала С.О. Макарова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ МОРСКОГО И РЕЧНОГО ФЛОТА ИМЕНИ АДМИРАЛА С.О. МАКАРОВА»	7805029012.0	RU		False			12.059306918419122	44.97	-0.4364238473361895	-1.5381825185986342	-1.0045912982489915	-0.5414199175078822	0.4802765359891603	3.88	6.74	2.49	6.21	6.6	251.0	0.85	10.76	0.0	0.0	0.0	50.0	44.07	0.0	0.0	0.16	3.14	2118.26	8.15	0.0	7.87
386	Ухтинский Государственный Технический Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «УХТИНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ»	1102011331.0	RU		False			12.049367906737416	44.96	-0.2862868715636461	-1.6521000534624468	-0.9002760333283892	-0.557596117679506	-0.1403286367654321	4.31	6.62	2.69	6.19	5.21	103.2	1.41	0.0	0.0	0.0	55.8	0.0	44.48	0.0	0.0	0.0	4.88	2518.07	23.97	0.0	7.41
387	Череповецкий Государственный Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ЧЕРЕПОВЕЦКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ»	3528051834.0	RU		False			12.046972436001935	44.96	-0.5323911797687227	-1.3458226731677478	-1.3176200593105174	-1.7646781472901427	-0.0186315754532232	3.61	6.95	1.88	4.65	5.48	88.35	6.65	0.0	14.47	0.0	66.11	59.86	50.76	0.0	0.0	0.28	2.29	966.23	36.26	0.03	13.18
388	Поволжский Государственный Университет Телекоммуникаций И Информатики	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ПОВОЛЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ И ИНФОРМАТИКИ»	6317017702.0	RU		False			12.045831032892655	44.95	-0.4299795585217604	-1.4590228282687554	-1.3275469609953403	-1.3719062259732684	-0.2165831671732012	3.9	6.83	1.86	5.15	5.04	178.24	2.88	0.0	4.76	0.0	33.4	25.96	20.2	0.0	0.0	0.02	2.28	1256.35	30.92	0.03	11.24
389	Майкопский Государственный Технологический Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «МАЙКОПСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ»	105014177.0	RU		False			12.037077049964568	44.95	-0.4530437097839053	-1.4755625636659166	0.4314141669576247	-1.3974659203050197	0.0803018937140197	3.84	6.81	5.29	5.12	5.7	356.35	3.36	0.0	5.0	0.0	65.64	57.38	52.26	0.0	0.0	2.27	4.7	1836.34	78.26	0.05	8.97
390	Донской Государственный Технический Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ДОНСКОЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ»	6165033136.0	RU		False			11.993591191096572	44.91	-0.1154349023416787	-1.740568090723495	0.9204526908536712	-1.5615288423078129	-0.0297276878245277	4.8	6.53	6.24	4.91	5.46	122.42	2.8	6.51	3.28	0.0	58.56	50.25	47.23	0.0	0.0	0.03	0.65	2450.56	29.96	0.0	8.81
391	"Государственное Образовательное Учреждение Высшего Образования Московской Области ""Государственный Гуманитарно-Технологический Университет"	"ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ МОСКОВСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННЫЙ ГУМАНИТАРНО-ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ"""	5034082850.0	RU		False			11.976742158317	44.89	-0.5259570590014234	-1.4502711095249394	-1.4173869981417098	-0.7621258195145219	0.4261767917803301	3.63	6.84	1.69	5.93	6.47	757.75	5.32	0.73	6.0	0.0	67.64	57.31	48.04	0.0	0.0	0.25	3.37	1831.41	55.75	0.02	10.52
392	Астраханский Государственный Технический Университет	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АСТРАХАНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ"""	3016018094.0	RU		False			11.779785589216578	44.72	0.0555186480912565	-1.906665357209073	0.8198000385439529	-1.4935545042351617	0.0442521952858182	5.29	6.35	6.04	4.99	5.62	490.7	3.76	0.55	12.93	0.22	62.24	26.94	52.49	0.0	0.0	2.46	6.6	1279.32	29.49	0.07	10.11
393	Самарский Государственный Социально-Педагогический Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «САМАРСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ»	6317008539.0	RU		False			11.772340399727312	44.71	-0.3207744071193668	-1.538450247849451	-0.3460240189588159	-2.132517304526181	0.5784171760057951	4.21	6.74	3.77	4.18	6.81	422.22	6.43	0.78	8.26	0.33	71.59	60.49	55.69	0.0	0.0	1.61	4.67	774.93	93.84	0.04	18.28
394	"Религиозная Организация - Духовная Образовательная Организация Высшего Образования ""Саратовская Православная Духовная Семинария"" Саратовской Епархии Русской Православной Церкви"	"РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ДУХОВНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""САРАТОВСКАЯ ПРАВОСЛАВНАЯ ДУХОВНАЯ СЕМИНАРИЯ"" САРАТОВСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ"	6450526235.0	RU		False			11.767382222395398	44.71	-0.5603234186075985	-1.503406880933588	-1.298217479119935	-0.0142068301639934	-0.9768134021762916	3.53	6.78	1.92	6.88	3.35	149.48	5.89	0.0	6.98	0.0	55.6	62.8	45.0	0.0	0.0	0.0	2.33	1226.12	0.0	0.0	6.19
395	Петрозаводская Государственная Консерватория Имени А.К. Глазунова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ПЕТРОЗАВОДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ А.К. ГЛАЗУНОВА»	1001041114.0	RU		False			11.747090260494764	44.69	-0.1597275144702185	-1.808220572284177	2.004854291235536	-1.030140133416369	0.461599249239441	4.67	6.46	8.35	5.59	6.55	102.14	6.15	0.0	31.26	1.57	76.37	0.0	75.06	0.0	0.0	20.94	20.58	848.55	13.1	2.91	4.08
396	Ивановский Государственный Медицинский Университет» Министерства Здравоохранения Российской Федерации	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ИВАНОВСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ» МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ	3728012776.0	RU		False			11.69343481681636	44.64	-0.9455439395187684	-1.1166703375444171	-0.2922879315739234	-1.551023212620971	1.432719031164017	2.43	7.19	3.88	4.92	8.72	125.46	3.45	0.0	12.26	0.0	73.74	60.9	45.77	0.0	0.0	5.99	7.86	775.97	27.8	0.51	21.71
397	Ивановский Государственный Химико-Технологический Университет	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ИВАНОВСКИЙ ГОСУДАРСТВЕННЫЙ ХИМИКО-ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ"""	3728012818.0	RU		False			11.68329013547872	44.63	0.266098633455631	-2.0758515349106594	0.4174168486275737	-1.5516748883550864	0.4440948250634154	5.89	6.17	5.26	4.92	6.51	197.38	23.66	3.93	18.98	0.0	61.29	57.99	45.96	0.0	0.0	1.71	7.75	1011.6	52.95	0.11	21.96
398	Заполярный Государственный Университет Им. Н.М. Федоровского	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЗАПОЛЯРНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМ. Н.М. ФЕДОРОВСКОГО"""	2457007351.0	RU		False			11.624383811433349	44.58	-0.2934180791693854	-1.6743539585806313	-1.501325763859823	-0.6539995485676198	-0.6784731845071021	4.29	6.6	1.52	6.07	4.01	57.57	2.22	6.24	8.82	0.0	57.18	51.63	48.24	0.0	0.0	0.0	0.49	1516.23	30.26	0.1	3.16
399	Восточно-Сибирский Государственный Университет Технологий И Управления	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ВОСТОЧНО-СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ТЕХНОЛОГИЙ И УПРАВЛЕНИЯ»	323060215.0	RU		False			11.48313435128857	44.46	-0.2481032575424834	-1.6523787179537095	-0.3301364757458767	-1.8107834936602505	-0.2226045937015825	4.42	6.62	3.8	4.59	5.03	278.67	1.49	0.39	17.0	0.5	58.49	58.0	49.21	0.0	0.0	3.28	3.33	1025.86	11.81	0.03	13.21
